sample_index,n,candidate,maximum_pairwise_tree_tv,mean_target_tv,maximum_target_tv
8,23,base_mass,1.3791051634015616e-16,5.79686761555583e-17,9.020562075079397e-17
8,23,mean_q_softmax,0.6725786426090143,0.42146621284508184,0.6207162271277097
8,23,mass_times_exp_mean_q,0.14969252197571056,0.10824439335998444,0.1444360053279837
8,23,partition_sum,1.518425142565949e-16,9.449725435021576e-17,1.7856809780836258e-16
9,19,uniform_child,0.5086805555555556,0.30957602339181284,0.4440789473684211
9,19,descendant_count,6.938893903907228e-18,1.1564823173178713e-18,6.938893903907228e-18
9,19,base_mass,1.214306433183765e-16,7.574959178432057e-17,1.1102230246251565e-16
9,19,mean_q_softmax,0.600778867792495,0.36543100811642687,0.4410643645021564
9,19,mass_times_exp_mean_q,0.16885820345360597,0.12050676624994149,0.1721644589313095
9,19,partition_sum,1.5276408610320757e-16,8.521829075736065e-17,1.102633609417758e-16
10,23,uniform_child,0.5914351851851851,0.370823268921095,0.5344202898550725
10,23,descendant_count,6.591949208711867e-17,1.2721305490496585e-17,4.163336342344337e-17
10,23,base_mass,1.192622389734055e-16,8.37726878607133e-17,1.2663481374630692e-16
10,23,mean_q_softmax,0.8177896707073359,0.533601181935866,0.7963475015735831
10,23,mass_times_exp_mean_q,0.18715071068056774,0.09617756830061902,0.11077386420436133
10,23,partition_sum,1.1449174941446927e-16,5.923357869012473e-17,9.215718466126788e-17
11,22,uniform_child,0.6718749999999999,0.35364057239057245,0.5707070707070708
11,22,descendant_count,8.326672684688674e-17,3.5272710678195076e-17,5.551115123125783e-17
11,22,base_mass,1.8648277366750676e-16,1.2981514011893106e-16,2.1423834928313568e-16
11,22,mean_q_softmax,0.8239310052721763,0.42056426660138274,0.705869005144198
11,22,mass_times_exp_mean_q,0.3731918370814025,0.21436450141184693,0.2953022328710156
11,22,partition_sum,2.1716569514884654e-16,6.262171047914193e-17,1.371515748194163e-16
12,14,uniform_child,0.4444444444444444,0.306547619047619,0.4642857142857143
12,14,descendant_count,6.245004513516506e-17,1.3877787807814457e-17,4.85722573273506e-17
12,14,base_mass,1.5959455978986625e-16,7.936359902593892e-17,1.3791051634015616e-16
12,14,mean_q_softmax,0.6068201215341938,0.5360245491492842,0.7008289071795191
12,14,mass_times_exp_mean_q,0.49459024175444044,0.21040988582225809,0.3555896154170306
12,14,partition_sum,2.2876665839444144e-16,1.7974265016188854e-16,2.8124204354273985e-16
13,21,uniform_child,0.6440972222222224,0.38161375661375657,0.5119047619047618
13,21,descendant_count,9.367506770274758e-17,2.6599093298311043e-17,9.367506770274758e-17
13,21,base_mass,1.717376241217039e-16,1.074082952208973e-16,1.951563910473908e-16
13,21,mean_q_softmax,0.7366063901618306,0.46343209502497,0.6442397573242292
13,21,mass_times_exp_mean_q,0.12251555862458148,0.10800211938532141,0.13997643621825026
13,21,partition_sum,1.695692197767329e-16,5.29452060897088e-17,1.0299920638612292e-16
14,28,uniform_child,0.6597222222222222,0.39886463844797176,0.5059523809523809
14,28,descendant_count,9.367506770274758e-17,2.7177334456969977e-17,6.938893903907228e-17
14,28,base_mass,1.2533377113932431e-16,8.673617379884035e-17,1.5872719805187785e-16
14,28,mean_q_softmax,0.7453892528998803,0.5595668999266147,0.7396057059731334
14,28,mass_times_exp_mean_q,0.4243438623144568,0.1886650835361248,0.27858782784355274
14,28,partition_sum,2.1636609604663848e-16,8.73347437482334e-17,1.1962815720661935e-16
15,9,uniform_child,0.5277777777777778,0.27777777777777785,0.41666666666666663
15,9,descendant_count,3.469446951953614e-17,8.0953762212251e-18,3.469446951953614e-17
15,9,base_mass,1.1275702593849246e-16,3.2959746043559335e-17,1.1275702593849246e-16
15,9,mean_q_softmax,0.6416829024396181,0.29307089816967347,0.46450378273758075
15,9,mass_times_exp_mean_q,0.11019689250062702,0.03280237552265303,0.07578879769274842
