sample_index,offset,effective_distance_scaling_relative_error,normalized_distance_invariance_error,centered_q_invariance_error
54,-2.0,4.426502573312193e-16,6.661338147750939e-16,3.885780586188048e-16
54,-0.5,3.2389376179217704e-16,6.661338147750939e-16,2.220446049250313e-16
54,0.75,4.112979584823091e-16,4.440892098500626e-16,2.220446049250313e-16
54,1.6,3.1269625439224106e-16,4.440892098500626e-16,3.3306690738754696e-16
55,-2.0,4.0218866584596105e-16,6.661338147750939e-16,4.440892098500626e-16
55,-0.5,2.5846623500736897e-16,6.661338147750939e-16,2.220446049250313e-16
55,0.75,3.6855153977713325e-16,4.440892098500626e-16,2.220446049250313e-16
55,1.6,3.41599275888464e-16,4.440892098500626e-16,2.7755575615628914e-16
56,-2.0,5.215866267216053e-16,6.661338147750939e-16,4.440892098500626e-16
56,-0.5,3.2749516165468005e-16,4.440892098500626e-16,2.220446049250313e-16
56,0.75,3.4373496029950013e-16,2.220446049250313e-16,2.220446049250313e-16
56,1.6,4.0928224438638075e-16,4.440892098500626e-16,5.551115123125783e-16
57,-2.0,3.8122038239672045e-16,4.440892098500626e-16,2.7755575615628914e-16
57,-0.5,3.4606264422499343e-16,4.440892098500626e-16,1.6653345369377348e-16
57,0.75,3.876842040138331e-16,4.440892098500626e-16,1.6653345369377348e-16
57,1.6,3.3575625057034386e-16,6.661338147750939e-16,4.440892098500626e-16
58,-2.0,3.9711059123166283e-16,6.661338147750939e-16,5.551115123125783e-16
58,-0.5,3.6409892564168523e-16,4.440892098500626e-16,2.220446049250313e-16
58,0.75,2.2972017801554824e-16,4.440892098500626e-16,2.220446049250313e-16
58,1.6,3.487862979014219e-16,4.440892098500626e-16,3.3306690738754696e-16
59,-2.0,3.745681762497583e-16,6.661338147750939e-16,4.440892098500626e-16
59,-0.5,2.962618665788349e-16,4.440892098500626e-16,1.1102230246251565e-16
59,0.75,3.984252041236072e-16,4.440892098500626e-16,1.1102230246251565e-16
59,1.6,2.9023336007044476e-16,6.661338147750939e-16,2.220446049250313e-16
60,-2.0,3.448642628928367e-16,4.440892098500626e-16,2.220446049250313e-16
60,-0.5,3.0599746823572654e-16,4.440892098500626e-16,1.1102230246251565e-16
60,0.75,4.105167241251933e-16,4.440892098500626e-16,1.1102230246251565e-16
