sample_index,maximum_count_measure_error
79,1.3877787807814457e-17
80,2.7755575615628914e-17
81,5.551115123125783e-17
82,5.551115123125783e-17
83,2.7755575615628914e-17
84,2.7755575615628914e-17
85,1.3877787807814457e-17
86,5.551115123125783e-17
87,2.7755575615628914e-17
88,5.551115123125783e-17
89,2.7755575615628914e-17
90,2.7755575615628914e-17
91,2.7755575615628914e-17
92,2.7755575615628914e-17
93,5.551115123125783e-17
94,0.0
95,2.7755575615628914e-17
96,5.551115123125783e-17
97,2.7755575615628914e-17
98,1.734723475976807e-18
99,2.7755575615628914e-17
100,5.551115123125783e-17
101,2.7755575615628914e-17
102,2.7755575615628914e-17
103,2.7755575615628914e-17
104,0.0
105,5.551115123125783e-17
106,0.0
107,1.3877787807814457e-17
108,0.0
109,2.7755575615628914e-17
110,5.551115123125783e-17
111,0.0
112,5.551115123125783e-17
113,1.3877787807814457e-17
114,5.551115123125783e-17
115,2.7755575615628914e-17
116,2.7755575615628914e-17
117,2.7755575615628914e-17
118,0.0
119,2.7755575615628914e-17
120,1.3877787807814457e-17
121,2.7755575615628914e-17
122,1.3877787807814457e-17
123,2.7755575615628914e-17
124,1.3877787807814457e-17
125,2.7755575615628914e-17
126,1.3877787807814457e-17
127,0.0
128,2.7755575615628914e-17
129,2.7755575615628914e-17
130,1.3877787807814457e-17
131,1.3877787807814457e-17
132,1.3877787807814457e-17
133,2.7755575615628914e-17
134,0.0
135,1.3877787807814457e-17
136,2.7755575615628914e-17
137,2.7755575615628914e-17
138,1.3877787807814457e-17
139,2.7755575615628914e-17
140,1.3877787807814457e-17
141,1.3877787807814457e-17
142,2.7755575615628914e-17
143,2.7755575615628914e-17
144,5.551115123125783e-17
145,1.3877787807814457e-17
146,5.551115123125783e-17
147,2.7755575615628914e-17
148,6.938893903907228e-18
149,2.7755575615628914e-17
150,2.7755575615628914e-17
151,5.551115123125783e-17
152,5.551115123125783e-17
153,2.7755575615628914e-17
154,5.551115123125783e-17
155,1.1102230246251565e-16
156,5.551115123125783e-17
157,0.0
158,5.551115123125783e-17
159,1.3877787807814457e-17
160,2.7755575615628914e-17
161,1.3877787807814457e-17
162,2.7755575615628914e-17
163,2.7755575615628914e-17
164,5.551115123125783e-17
165,1.3877787807814457e-17
166,5.551115123125783e-17
167,5.551115123125783e-17
168,5.551115123125783e-17
169,2.7755575615628914e-17
170,2.7755575615628914e-17
171,0.0
172,2.7755575615628914e-17
173,6.938893903907228e-18
174,5.551115123125783e-17
175,2.7755575615628914e-17
176,2.7755575615628914e-17
177,2.7755575615628914e-17
178,2.7755575615628914e-17
179,2.7755575615628914e-17
180,5.551115123125783e-17
181,2.7755575615628914e-17
182,5.551115123125783e-17
183,2.7755575615628914e-17
184,0.0
185,2.7755575615628914e-17
186,1.3877787807814457e-17
187,2.7755575615628914e-17
188,2.7755575615628914e-17
189,5.551115123125783e-17
190,0.0
191,2.7755575615628914e-17
192,1.3877787807814457e-17
193,1.3877787807814457e-17
194,1.3877787807814457e-17
195,2.7755575615628914e-17
196,5.551115123125783e-17
197,1.3877787807814457e-17
198,1.3877787807814457e-17
199,2.7755575615628914e-17
200,1.3877787807814457e-17
201,0.0
202,5.551115123125783e-17
203,2.7755575615628914e-17
204,2.7755575615628914e-17
205,0.0
206,1.3877787807814457e-17
207,2.7755575615628914e-17
208,2.7755575615628914e-17
209,0.0
210,2.7755575615628914e-17
211,0.0
212,5.551115123125783e-17
213,5.551115123125783e-17
214,5.551115123125783e-17
215,1.3877787807814457e-17
216,1.3877787807814457e-17
217,2.7755575615628914e-17
218,2.7755575615628914e-17
219,5.551115123125783e-17
220,5.551115123125783e-17
221,1.1102230246251565e-16
222,1.3877787807814457e-17
223,2.7755575615628914e-17
224,1.3877787807814457e-17
225,2.7755575615628914e-17
226,2.7755575615628914e-17
227,0.0
228,2.7755575615628914e-17
229,5.551115123125783e-17
230,1.3877787807814457e-17
231,2.7755575615628914e-17
232,2.7755575615628914e-17
233,2.7755575615628914e-17
234,5.551115123125783e-17
235,2.7755575615628914e-17
236,2.7755575615628914e-17
237,2.7755575615628914e-17
238,1.3877787807814457e-17
239,0.0
240,1.1102230246251565e-16
241,3.469446951953614e-18
242,2.7755575615628914e-17
243,2.7755575615628914e-17
244,2.7755575615628914e-17
245,2.7755575615628914e-17
246,2.7755575615628914e-17
247,5.551115123125783e-17
248,2.7755575615628914e-17
249,5.551115123125783e-17
250,2.7755575615628914e-17
251,6.938893903907228e-18
252,5.551115123125783e-17
253,0.0
254,5.551115123125783e-17
255,5.551115123125783e-17
256,1.3877787807814457e-17
257,0.0
258,0.0
259,2.7755575615628914e-17
260,2.7755575615628914e-17
261,1.3877787807814457e-17
262,1.3877787807814457e-17
263,1.3877787807814457e-17
264,0.0
265,2.7755575615628914e-17
266,2.7755575615628914e-17
267,2.7755575615628914e-17
268,1.3877787807814457e-17
269,2.7755575615628914e-17
270,2.7755575615628914e-17
271,1.3877787807814457e-17
272,2.7755575615628914e-17
273,2.7755575615628914e-17
274,5.551115123125783e-17
275,2.7755575615628914e-17
276,4.163336342344337e-17
277,0.0
278,0.0
279,1.3877787807814457e-17
280,5.551115123125783e-17
281,2.7755575615628914e-17
282,2.7755575615628914e-17
283,2.7755575615628914e-17
284,2.7755575615628914e-17
285,1.3877787807814457e-17
286,2.7755575615628914e-17
287,2.7755575615628914e-17
288,0.0
289,5.551115123125783e-17
290,2.7755575615628914e-17
291,2.7755575615628914e-17
292,1.734723475976807e-18
293,2.7755575615628914e-17
294,5.551115123125783e-17
295,2.7755575615628914e-17
296,2.7755575615628914e-17
297,5.551115123125783e-17
298,0.0
299,2.7755575615628914e-17
300,2.7755575615628914e-17
301,2.7755575615628914e-17
302,2.7755575615628914e-17
303,5.551115123125783e-17
304,2.7755575615628914e-17
305,2.7755575615628914e-17
306,2.7755575615628914e-17
307,2.7755575615628914e-17
308,2.7755575615628914e-17
309,0.0
310,5.551115123125783e-17
311,2.7755575615628914e-17
312,1.3877787807814457e-17
313,1.3877787807814457e-17
314,2.7755575615628914e-17
