n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,beta_q_scale_degeneracy_error
64,23,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.23901257964319972,1.6653345369377348e-16
64,24,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.13808452343734753,1.1102230246251565e-16
64,25,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.12353493544908067,2.220446049250313e-16
64,26,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.15052188830935492,1.6653345369377348e-16
64,27,True,True,5.551115123125783e-17,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.28795696941479115,1.1102230246251565e-16
64,28,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.1340653078594648,1.6653345369377348e-16
64,29,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.16626533192382537,1.1102230246251565e-16
64,30,True,True,2.220446049250313e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.11555606979165636,1.6653345369377348e-16
64,31,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.27867620085122513,1.1102230246251565e-16
64,32,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.3589429844955112,2.220446049250313e-16
64,33,True,True,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.34715667411247075,1.1102230246251565e-16
64,34,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.34756765607065854,1.1102230246251565e-16
64,35,True,True,1.6653345369377348e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.44925795414201564,1.1102230246251565e-16
64,36,True,True,1.1102230246251565e-16,1.6653345369377348e-16,2.220446049250313e-16,0.0,0.11831384167566888,1.1102230246251565e-16
64,37,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.31861698656397264,1.1102230246251565e-16
